Email;Event;Framecount;PotionRotationX;PotionRotationY;PotionRotationZ;SessionID;Timestamp
anonymous;Sample;98;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.4947
anonymous;Sample;100;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.5227
anonymous;Sample;102;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.5494
anonymous;Sample;104;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.5785
anonymous;Sample;106;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.6061
anonymous;Sample;108;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.6337
anonymous;Sample;110;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.6613
anonymous;Sample;112;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.6893
anonymous;Sample;114;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.7174
anonymous;Sample;116;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.7444
anonymous;Sample;118;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.7734
anonymous;Sample;120;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.8009
anonymous;Sample;122;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.8293
anonymous;Sample;124;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.8577
anonymous;Sample;126;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.8847
anonymous;Sample;128;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.9139
anonymous;Sample;130;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.9420
anonymous;Sample;132;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.9696
anonymous;Sample;134;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:44.9975
anonymous;Sample;136;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.0261
anonymous;Sample;138;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.0539
anonymous;Sample;140;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.0820
anonymous;Sample;142;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.1101
anonymous;Sample;144;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.1374
anonymous;Sample;146;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.1657
anonymous;Sample;148;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.1936
anonymous;Sample;150;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.2203
anonymous;Sample;152;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.2496
anonymous;Sample;154;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.2770
anonymous;Sample;156;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.3051
anonymous;Sample;158;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.3329
anonymous;Sample;160;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.3607
anonymous;Sample;162;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.3883
anonymous;Sample;164;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.4159
anonymous;Sample;166;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.4440
anonymous;Sample;168;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.4718
anonymous;Sample;170;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.5000
anonymous;Sample;172;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.5272
anonymous;Sample;174;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.5553
anonymous;Sample;176;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.5831
anonymous;Sample;178;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.6100
anonymous;Sample;180;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.6388
anonymous;Sample;182;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.6652
anonymous;Sample;184;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.6931
anonymous;Sample;186;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.7222
anonymous;Sample;188;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.7495
anonymous;Sample;190;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.7771
anonymous;Sample;192;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.8044
anonymous;Sample;194;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.8330
anonymous;Sample;196;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.8597
anonymous;Sample;198;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.8878
anonymous;Sample;200;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.9163
anonymous;Sample;202;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.9439
anonymous;Sample;204;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.9718
anonymous;Sample;206;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:45.9993
anonymous;Sample;208;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.0261
anonymous;Sample;210;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.0545
anonymous;Sample;212;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.0823
anonymous;Sample;214;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.1110
anonymous;Sample;216;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.1385
anonymous;Sample;218;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.1660
anonymous;Sample;220;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.1945
anonymous;Sample;222;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.2215
anonymous;Sample;224;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.2497
anonymous;Sample;226;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.2771
anonymous;Sample;228;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.3054
anonymous;Sample;230;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.3327
anonymous;Sample;232;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.3598
anonymous;Sample;234;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.3888
anonymous;Sample;236;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.4166
anonymous;Sample;238;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.4433
anonymous;Sample;240;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.4720
anonymous;Sample;242;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.5001
anonymous;Sample;244;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.5267
anonymous;Sample;246;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.5543
anonymous;Sample;248;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.5830
anonymous;Sample;250;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.6096
anonymous;Sample;252;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.6394
anonymous;Sample;254;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.6669
anonymous;Sample;256;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.6946
anonymous;Sample;258;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.7226
anonymous;Sample;260;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.7500
anonymous;Sample;262;0.0000;0.0000;0.0000;621acfc6-0c46-4724-9e7d-8b040eaeece4;2026-09-22 11:14:46.7779
